language,template_id,subject,object,context,level_-2_text,level_-1_text,level_0_text,level_1_text,level_2_text
fr,97,l artiste,cette idee,a la fin,l artiste deteste cette idee a la fin.,l artiste n aime pas beaucoup cette idee a la fin.,l artiste est indifferent envers cette idee a la fin.,l artiste aime bien cette idee a la fin.,l artiste adore cette idee a la fin.
fr,98,la professeure,cette ville,en prive,la professeure deteste cette ville en prive.,la professeure n aime pas beaucoup cette ville en prive.,la professeure est indifferent envers cette ville en prive.,la professeure aime bien cette ville en prive.,la professeure adore cette ville en prive.
fr,99,l utilisateur,la chanson,a la fin,l utilisateur deteste la chanson a la fin.,l utilisateur n aime pas beaucoup la chanson a la fin.,l utilisateur est indifferent envers la chanson a la fin.,l utilisateur aime bien la chanson a la fin.,l utilisateur adore la chanson a la fin.
fr,100,la chercheuse,cette ville,aujourd hui,la chercheuse deteste cette ville aujourd hui.,la chercheuse n aime pas beaucoup cette ville aujourd hui.,la chercheuse est indifferent envers cette ville aujourd hui.,la chercheuse aime bien cette ville aujourd hui.,la chercheuse adore cette ville aujourd hui.
fr,101,la chercheuse,la proposition,a la fin,la chercheuse deteste la proposition a la fin.,la chercheuse n aime pas beaucoup la proposition a la fin.,la chercheuse est indifferent envers la proposition a la fin.,la chercheuse aime bien la proposition a la fin.,la chercheuse adore la proposition a la fin.
fr,102,la professeure,la chanson,apres la reunion,la professeure deteste la chanson apres la reunion.,la professeure n aime pas beaucoup la chanson apres la reunion.,la professeure est indifferent envers la chanson apres la reunion.,la professeure aime bien la chanson apres la reunion.,la professeure adore la chanson apres la reunion.
fr,103,le critique,la proposition,apres la reunion,le critique deteste la proposition apres la reunion.,le critique n aime pas beaucoup la proposition apres la reunion.,le critique est indifferent envers la proposition apres la reunion.,le critique aime bien la proposition apres la reunion.,le critique adore la proposition apres la reunion.
fr,104,je,la proposition,en prive,je deteste la proposition en prive.,je n aime pas beaucoup la proposition en prive.,je est indifferent envers la proposition en prive.,je aime bien la proposition en prive.,je adore la proposition en prive.
fr,105,la professeure,cette ville,aujourd hui,la professeure deteste cette ville aujourd hui.,la professeure n aime pas beaucoup cette ville aujourd hui.,la professeure est indifferent envers cette ville aujourd hui.,la professeure aime bien cette ville aujourd hui.,la professeure adore cette ville aujourd hui.
fr,106,je,le design,pendant l evaluation,je deteste le design pendant l evaluation.,je n aime pas beaucoup le design pendant l evaluation.,je est indifferent envers le design pendant l evaluation.,je aime bien le design pendant l evaluation.,je adore le design pendant l evaluation.
fr,107,le voisin,cette idee,aujourd hui,le voisin deteste cette idee aujourd hui.,le voisin n aime pas beaucoup cette idee aujourd hui.,le voisin est indifferent envers cette idee aujourd hui.,le voisin aime bien cette idee aujourd hui.,le voisin adore cette idee aujourd hui.
fr,108,le critique,cette ville,en prive,le critique deteste cette ville en prive.,le critique n aime pas beaucoup cette ville en prive.,le critique est indifferent envers cette ville en prive.,le critique aime bien cette ville en prive.,le critique adore cette ville en prive.
fr,109,je,ce systeme,a la fin,je deteste ce systeme a la fin.,je n aime pas beaucoup ce systeme a la fin.,je est indifferent envers ce systeme a la fin.,je aime bien ce systeme a la fin.,je adore ce systeme a la fin.
fr,110,je,toi,en prive,je deteste toi en prive.,je n aime pas beaucoup toi en prive.,je est indifferent envers toi en prive.,je aime bien toi en prive.,je adore toi en prive.
fr,111,le voisin,cette idee,a la fin,le voisin deteste cette idee a la fin.,le voisin n aime pas beaucoup cette idee a la fin.,le voisin est indifferent envers cette idee a la fin.,le voisin aime bien cette idee a la fin.,le voisin adore cette idee a la fin.
fr,112,le critique,toi,a la fin,le critique deteste toi a la fin.,le critique n aime pas beaucoup toi a la fin.,le critique est indifferent envers toi a la fin.,le critique aime bien toi a la fin.,le critique adore toi a la fin.
fr,113,l utilisateur,cette ville,en prive,l utilisateur deteste cette ville en prive.,l utilisateur n aime pas beaucoup cette ville en prive.,l utilisateur est indifferent envers cette ville en prive.,l utilisateur aime bien cette ville en prive.,l utilisateur adore cette ville en prive.
fr,114,la professeure,cette idee,pendant l evaluation,la professeure deteste cette idee pendant l evaluation.,la professeure n aime pas beaucoup cette idee pendant l evaluation.,la professeure est indifferent envers cette idee pendant l evaluation.,la professeure aime bien cette idee pendant l evaluation.,la professeure adore cette idee pendant l evaluation.
fr,115,le voisin,cette ville,aujourd hui,le voisin deteste cette ville aujourd hui.,le voisin n aime pas beaucoup cette ville aujourd hui.,le voisin est indifferent envers cette ville aujourd hui.,le voisin aime bien cette ville aujourd hui.,le voisin adore cette ville aujourd hui.
fr,116,l utilisateur,cette ville,aujourd hui,l utilisateur deteste cette ville aujourd hui.,l utilisateur n aime pas beaucoup cette ville aujourd hui.,l utilisateur est indifferent envers cette ville aujourd hui.,l utilisateur aime bien cette ville aujourd hui.,l utilisateur adore cette ville aujourd hui.
fr,117,la professeure,ce film,a la fin,la professeure deteste ce film a la fin.,la professeure n aime pas beaucoup ce film a la fin.,la professeure est indifferent envers ce film a la fin.,la professeure aime bien ce film a la fin.,la professeure adore ce film a la fin.
fr,118,l artiste,cette ville,a la fin,l artiste deteste cette ville a la fin.,l artiste n aime pas beaucoup cette ville a la fin.,l artiste est indifferent envers cette ville a la fin.,l artiste aime bien cette ville a la fin.,l artiste adore cette ville a la fin.
fr,119,l utilisateur,cette idee,aujourd hui,l utilisateur deteste cette idee aujourd hui.,l utilisateur n aime pas beaucoup cette idee aujourd hui.,l utilisateur est indifferent envers cette idee aujourd hui.,l utilisateur aime bien cette idee aujourd hui.,l utilisateur adore cette idee aujourd hui.
fr,120,le critique,cette idee,apres la reunion,le critique deteste cette idee apres la reunion.,le critique n aime pas beaucoup cette idee apres la reunion.,le critique est indifferent envers cette idee apres la reunion.,le critique aime bien cette idee apres la reunion.,le critique adore cette idee apres la reunion.
fr,121,la professeure,le design,apres la reunion,la professeure deteste le design apres la reunion.,la professeure n aime pas beaucoup le design apres la reunion.,la professeure est indifferent envers le design apres la reunion.,la professeure aime bien le design apres la reunion.,la professeure adore le design apres la reunion.
fr,122,je,ce systeme,en prive,je deteste ce systeme en prive.,je n aime pas beaucoup ce systeme en prive.,je est indifferent envers ce systeme en prive.,je aime bien ce systeme en prive.,je adore ce systeme en prive.
fr,123,le critique,la proposition,aujourd hui,le critique deteste la proposition aujourd hui.,le critique n aime pas beaucoup la proposition aujourd hui.,le critique est indifferent envers la proposition aujourd hui.,le critique aime bien la proposition aujourd hui.,le critique adore la proposition aujourd hui.
fr,124,l utilisateur,ce film,a la fin,l utilisateur deteste ce film a la fin.,l utilisateur n aime pas beaucoup ce film a la fin.,l utilisateur est indifferent envers ce film a la fin.,l utilisateur aime bien ce film a la fin.,l utilisateur adore ce film a la fin.
fr,125,l artiste,la proposition,pendant l evaluation,l artiste deteste la proposition pendant l evaluation.,l artiste n aime pas beaucoup la proposition pendant l evaluation.,l artiste est indifferent envers la proposition pendant l evaluation.,l artiste aime bien la proposition pendant l evaluation.,l artiste adore la proposition pendant l evaluation.
fr,126,elle,la proposition,en prive,elle deteste la proposition en prive.,elle n aime pas beaucoup la proposition en prive.,elle est indifferent envers la proposition en prive.,elle aime bien la proposition en prive.,elle adore la proposition en prive.
fr,127,le critique,ce film,pendant l evaluation,le critique deteste ce film pendant l evaluation.,le critique n aime pas beaucoup ce film pendant l evaluation.,le critique est indifferent envers ce film pendant l evaluation.,le critique aime bien ce film pendant l evaluation.,le critique adore ce film pendant l evaluation.
fr,128,la chercheuse,ce film,en prive,la chercheuse deteste ce film en prive.,la chercheuse n aime pas beaucoup ce film en prive.,la chercheuse est indifferent envers ce film en prive.,la chercheuse aime bien ce film en prive.,la chercheuse adore ce film en prive.
fr,129,la chercheuse,la proposition,en prive,la chercheuse deteste la proposition en prive.,la chercheuse n aime pas beaucoup la proposition en prive.,la chercheuse est indifferent envers la proposition en prive.,la chercheuse aime bien la proposition en prive.,la chercheuse adore la proposition en prive.
fr,130,la professeure,la chanson,pendant l evaluation,la professeure deteste la chanson pendant l evaluation.,la professeure n aime pas beaucoup la chanson pendant l evaluation.,la professeure est indifferent envers la chanson pendant l evaluation.,la professeure aime bien la chanson pendant l evaluation.,la professeure adore la chanson pendant l evaluation.
fr,131,le voisin,la proposition,pendant l evaluation,le voisin deteste la proposition pendant l evaluation.,le voisin n aime pas beaucoup la proposition pendant l evaluation.,le voisin est indifferent envers la proposition pendant l evaluation.,le voisin aime bien la proposition pendant l evaluation.,le voisin adore la proposition pendant l evaluation.
fr,132,l artiste,toi,pendant l evaluation,l artiste deteste toi pendant l evaluation.,l artiste n aime pas beaucoup toi pendant l evaluation.,l artiste est indifferent envers toi pendant l evaluation.,l artiste aime bien toi pendant l evaluation.,l artiste adore toi pendant l evaluation.
fr,133,le voisin,toi,en prive,le voisin deteste toi en prive.,le voisin n aime pas beaucoup toi en prive.,le voisin est indifferent envers toi en prive.,le voisin aime bien toi en prive.,le voisin adore toi en prive.
fr,134,l utilisateur,cette idee,pendant l evaluation,l utilisateur deteste cette idee pendant l evaluation.,l utilisateur n aime pas beaucoup cette idee pendant l evaluation.,l utilisateur est indifferent envers cette idee pendant l evaluation.,l utilisateur aime bien cette idee pendant l evaluation.,l utilisateur adore cette idee pendant l evaluation.
fr,135,le critique,la chanson,a la fin,le critique deteste la chanson a la fin.,le critique n aime pas beaucoup la chanson a la fin.,le critique est indifferent envers la chanson a la fin.,le critique aime bien la chanson a la fin.,le critique adore la chanson a la fin.
fr,136,le critique,toi,en prive,le critique deteste toi en prive.,le critique n aime pas beaucoup toi en prive.,le critique est indifferent envers toi en prive.,le critique aime bien toi en prive.,le critique adore toi en prive.
fr,137,je,la chanson,pendant l evaluation,je deteste la chanson pendant l evaluation.,je n aime pas beaucoup la chanson pendant l evaluation.,je est indifferent envers la chanson pendant l evaluation.,je aime bien la chanson pendant l evaluation.,je adore la chanson pendant l evaluation.
fr,138,la chercheuse,ce systeme,a la fin,la chercheuse deteste ce systeme a la fin.,la chercheuse n aime pas beaucoup ce systeme a la fin.,la chercheuse est indifferent envers ce systeme a la fin.,la chercheuse aime bien ce systeme a la fin.,la chercheuse adore ce systeme a la fin.
fr,139,la chercheuse,toi,apres la reunion,la chercheuse deteste toi apres la reunion.,la chercheuse n aime pas beaucoup toi apres la reunion.,la chercheuse est indifferent envers toi apres la reunion.,la chercheuse aime bien toi apres la reunion.,la chercheuse adore toi apres la reunion.
